ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Total Population (N),Total Population Without Deahts (N Alive)
ESP,Europe,Spain,2021-02-09,44376860.57142857,426411.0,2465895.8571428573,63446.57142857143,47332614.0,47269167.428571425
ESP,Europe,Spain,2021-02-10,44356841.14285714,409507.0,2502343.0,63922.857142857145,47332614.0,47268691.14285714
ESP,Europe,Spain,2021-02-11,44338551.28571428,392228.85714285716,2537423.1428571427,64410.714285714275,47332614.0,47268203.28571428
ESP,Europe,Spain,2021-02-12,44322259.14285714,373657.85714285716,2571806.1428571427,64890.857142857145,47332614.0,47267723.14285714
ESP,Europe,Spain,2021-02-13,44305967.0,355086.85714285716,2606189.1428571427,65371.0,47332614.0,47267243.0
ESP,Europe,Spain,2021-02-14,44289674.85714286,336515.85714285716,2640572.1428571427,65851.14285714286,47332614.0,47266762.85714286
ESP,Europe,Spain,2021-02-15,44275789.0,317586.85714285716,2672936.4285714286,66301.71428571429,47332614.0,47266312.28571428
ESP,Europe,Spain,2021-02-16,44262809.57142857,298857.85714285716,2704228.0,66718.57142857142,47332614.0,47265895.428571425
ESP,Europe,Spain,2021-02-17,44250870.85714285,280382.85714285716,2734268.5714285714,67091.71428571429,47332614.0,47265522.28571428
ESP,Europe,Spain,2021-02-18,44239409.0,262142.57142857145,2763615.4285714286,67447.0,47332614.0,47265167.0
ESP,Europe,Spain,2021-02-19,44228396.571428575,244846.7142857143,2791587.4285714286,67783.28571428571,47332614.0,47264830.71428572
ESP,Europe,Spain,2021-02-20,44217384.14285714,227550.85714285716,2819559.4285714286,68119.57142857142,47332614.0,47264494.428571425
ESP,Europe,Spain,2021-02-21,44206371.71428572,210255.0,2847531.4285714286,68455.85714285714,47332614.0,47264158.14285714
ESP,Europe,Spain,2021-02-22,44196702.42857143,196316.7142857143,2870826.571428572,68768.28571428571,47332614.00000001,47263845.714285724
ESP,Europe,Spain,2021-02-23,44187404.0,183834.85714285716,2892306.8571428573,69068.28571428571,47332614.0,47263545.71428572
ESP,Europe,Spain,2021-02-24,44178336.57142857,173051.7142857143,2911850.0,69375.71428571429,47332614.0,47263238.28571428
ESP,Europe,Spain,2021-02-25,44169975.85714286,163309.14285714287,2929652.0,69677.0,47332614.0,47262937.0
ESP,Europe,Spain,2021-02-26,44162057.14285714,155124.2857142857,2945464.0,69968.57142857142,47332614.0,47262645.428571425
ESP,Europe,Spain,2021-02-27,44154138.42857143,146939.42857142858,2961276.0,70260.14285714286,47332614.0,47262353.85714286
ESP,Europe,Spain,2021-02-28,44146219.71428571,138754.57142857142,2977088.0,70551.71428571429,47332614.0,47262062.28571428
ESP,Europe,Spain,2021-03-01,44138996.85714286,132260.2857142857,2990523.2857142864,70833.57142857142,47332614.0,47261780.428571425
ESP,Europe,Spain,2021-03-02,44132839.85714285,125608.71428571428,3003085.8571428573,71079.57142857142,47332614.0,47261534.428571425
ESP,Europe,Spain,2021-03-03,44127122.14285714,119506.71428571428,3014651.4285714286,71333.71428571429,47332614.0,47261280.28571428
ESP,Europe,Spain,2021-03-04,44121908.85714286,113372.28571428572,3025758.0,71574.85714285714,47332614.0,47261039.14285714
ESP,Europe,Spain,2021-03-05,44116936.571428575,107383.28571428572,3036434.1428571427,71860.0,47332614.0,47260754.0
ESP,Europe,Spain,2021-03-06,44111964.28571429,101394.28571428572,3047110.2857142864,72145.14285714286,47332614.0,47260468.85714286
ESP,Europe,Spain,2021-03-07,44106992.00000001,95405.28571428572,3057786.4285714286,72430.28571428571,47332614.0,47260183.71428572
